date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:46	16121/16121	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22625523fa-3ef9%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.eot?	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italicd41d.eot	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:47	13856/13856	---M--	200	added ('OK')	font/woff2	etag:%22625523f9-3620%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.woff2	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.woff2	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:48	17524/17524	---M--	200	added ('OK')	font/woff	etag:%22625523fa-4474%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.woff	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.woff	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:49	34424/34424	---M-Z	200	added ('OK')	application/x-font-ttf	etag:W/%22625523f9-8678%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.ttf	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.ttf	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:50	61886/61886	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22625523f8-f1be%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.svg	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.svg	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:51	25282/25282	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22625523f9-62c2%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.eot	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.eot	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:52	25282/25282	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22625523fa-62c2%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.eot?	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regulard41d.eot	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:53	21488/21488	---M--	200	added ('OK')	font/woff2	etag:%22625523fa-53f0%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.woff2	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.woff2	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:54	26584/26584	---M--	200	added ('OK')	font/woff	etag:%22625523fa-67d8%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.woff	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.woff	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:55	58428/58428	---M-Z	200	added ('OK')	application/x-font-ttf	etag:W/%22625523f9-e43c%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.ttf	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-regular.ttf	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
